province_name,year,building_count
Drenthe,1924,364
Drenthe,1925,1178
Drenthe,1926,606
Drenthe,1927,414
Drenthe,1928,534
Drenthe,1929,267
Drenthe,1930,2764
Drenthe,1931,822
Drenthe,1932,578
Drenthe,1933,506
Drenthe,1934,501
Drenthe,1935,1846
Drenthe,1936,1559
Drenthe,1937,723
Drenthe,1938,1301
Drenthe,1939,791
Drenthe,1940,844
Drenthe,1941,349
Drenthe,1942,117
Drenthe,1943,65
Drenthe,1944,62
Drenthe,1945,212
Drenthe,1946,409
Drenthe,1947,426
Drenthe,1948,1277
Drenthe,1949,1427
Drenthe,1950,2816
Drenthe,1951,1598
Drenthe,1952,1029
Drenthe,1953,1790
Drenthe,1954,1290
Drenthe,1955,1750
Drenthe,1956,1871
Drenthe,1957,1747
Drenthe,1958,2046
Drenthe,1959,1553
Drenthe,1960,3501
Drenthe,1961,1772
Drenthe,1962,2688
Drenthe,1963,2997
Drenthe,1964,3515
Drenthe,1965,4851
Drenthe,1966,3788
Drenthe,1967,3706
Drenthe,1968,4607
Drenthe,1969,3500
Drenthe,1970,5687
Drenthe,1971,4258
Drenthe,1972,5300
Drenthe,1973,5493
Drenthe,1974,5781
Drenthe,1975,5152
Drenthe,1976,3238
Drenthe,1977,2771
Drenthe,1978,3346
Drenthe,1979,2514
Drenthe,1980,4408
Drenthe,1981,2323
Drenthe,1982,2949
Drenthe,1983,2841
Drenthe,1984,2192
Drenthe,1985,2940
Drenthe,1986,2940
Drenthe,1987,2797
Drenthe,1988,3199
Drenthe,1989,3303
Drenthe,1990,3447
Drenthe,1991,2478
Drenthe,1992,2526
Drenthe,1993,2816
Drenthe,1994,3519
Drenthe,1995,3150
Drenthe,1996,2939
Drenthe,1997,3038
Drenthe,1998,2936
Drenthe,1999,2486
Drenthe,2000,2577
Drenthe,2001,2155
Drenthe,2002,2352
Drenthe,2003,1932
Drenthe,2004,2005
Drenthe,2005,2098
Drenthe,2006,2609
Drenthe,2007,2391
Drenthe,2008,2162
Drenthe,2009,1571
Drenthe,2010,1098
Drenthe,2011,1977
Drenthe,2012,1303
Drenthe,2013,867
Drenthe,2014,639
Drenthe,2015,948
Drenthe,2016,1079
Drenthe,2017,1185
Drenthe,2018,1322
Drenthe,2019,1583
Drenthe,2020,1765
Drenthe,2021,1730
Drenthe,2022,2026
Drenthe,2023,1966
Drenthe,2024,2320
Drenthe,2025,2226
Drenthe,2026,21
Drenthe,9999,4
Flevoland,1736,1
Flevoland,1786,1
Flevoland,1800,1
Flevoland,1812,1
Flevoland,1820,2
Flevoland,1826,1
Flevoland,1840,3
Flevoland,1844,1
Flevoland,1850,5
Flevoland,1860,4
Flevoland,1866,1
Flevoland,1870,13
Flevoland,1877,1
Flevoland,1878,1
Flevoland,1880,7
Flevoland,1881,1
Flevoland,1885,1
Flevoland,1890,27
Flevoland,1900,58
Flevoland,1902,1
Flevoland,1903,1
Flevoland,1905,5
Flevoland,1906,1
Flevoland,1907,3
Flevoland,1910,65
Flevoland,1912,3
Flevoland,1914,2
Flevoland,1915,15
Flevoland,1916,4
Flevoland,1918,4
Flevoland,1919,2
Flevoland,1920,84
Flevoland,1925,29
Flevoland,1926,1
Flevoland,1927,2
Flevoland,1928,9
Flevoland,1929,1
Flevoland,1930,71
Flevoland,1931,6
Flevoland,1932,37
Flevoland,1933,1
Flevoland,1934,15
Flevoland,1935,22
Flevoland,1936,14
Flevoland,1937,2
Flevoland,1938,11
Flevoland,1939,4
Flevoland,1940,4
Flevoland,1942,1
Flevoland,1943,157
Flevoland,1944,47
Flevoland,1945,6
Flevoland,1946,2
Flevoland,1947,74
Flevoland,1948,203
Flevoland,1949,458
Flevoland,1950,568
Flevoland,1951,588
Flevoland,1952,524
Flevoland,1953,624
Flevoland,1954,556
Flevoland,1955,868
Flevoland,1956,777
Flevoland,1957,247
Flevoland,1958,328
Flevoland,1959,334
Flevoland,1960,290
Flevoland,1961,199
Flevoland,1962,688
Flevoland,1963,521
Flevoland,1964,810
Flevoland,1965,1068
Flevoland,1966,645
Flevoland,1967,690
Flevoland,1968,886
Flevoland,1969,868
Flevoland,1970,1172
Flevoland,1971,1582
Flevoland,1972,2154
Flevoland,1973,1700
Flevoland,1974,2234
Flevoland,1975,2112
Flevoland,1976,2722
Flevoland,1977,3408
Flevoland,1978,3312
Flevoland,1979,2342
Flevoland,1980,5021
Flevoland,1981,3654
Flevoland,1982,4335
Flevoland,1983,4280
Flevoland,1984,3155
Flevoland,1985,2493
Flevoland,1986,3567
Flevoland,1987,3316
Flevoland,1988,3818
Flevoland,1989,4517
Flevoland,1990,3562
Flevoland,1991,3387
Flevoland,1992,3555
Flevoland,1993,3361
Flevoland,1994,3534
Flevoland,1995,5008
Flevoland,1996,4159
Flevoland,1997,5580
Flevoland,1998,4835
Flevoland,1999,3431
Flevoland,2000,4843
Flevoland,2001,5226
Flevoland,2002,3500
Flevoland,2003,2524
Flevoland,2004,1754
Flevoland,2005,1750
Flevoland,2006,1964
Flevoland,2007,2157
Flevoland,2008,2117
Flevoland,2009,1465
Flevoland,2010,1750
Flevoland,2011,2038
Flevoland,2012,1355
Flevoland,2013,1173
Flevoland,2014,787
Flevoland,2015,977
Flevoland,2016,993
Flevoland,2017,1703
Flevoland,2018,1887
Flevoland,2019,2379
Flevoland,2020,1983
Flevoland,2021,2044
Flevoland,2022,2652
Flevoland,2023,2275
Flevoland,2024,2690
Flevoland,2025,3611
Flevoland,2026,102
Flevoland,9999,113
Friesland,1100,3
Friesland,1125,1
Friesland,1150,4
Friesland,1200,14
Friesland,1225,4
Friesland,1230,1
Friesland,1234,1
Friesland,1245,1
Friesland,1250,10
Friesland,1256,1
Friesland,1275,1
Friesland,1280,1
Friesland,1290,1
Friesland,1300,19
Friesland,1335,1
Friesland,1350,5
Friesland,1400,4
Friesland,1415,1
Friesland,1420,2
Friesland,1425,1
Friesland,1430,1
Friesland,1450,5
Friesland,1454,9
Friesland,1475,3
Friesland,1480,1
Friesland,1485,1
Friesland,1489,1
Friesland,1498,1
Friesland,1500,22
Friesland,1505,1
Friesland,1508,1
Friesland,1510,3
Friesland,1511,1
Friesland,1515,1
Friesland,1517,1
Friesland,1518,1
Friesland,1520,1
Friesland,1525,8
Friesland,1526,1
Friesland,1530,2
Friesland,1533,1
Friesland,1535,3
Friesland,1541,1
Friesland,1542,2
Friesland,1544,2
Friesland,1545,1
Friesland,1546,1
Friesland,1550,7
Friesland,1552,1
Friesland,1553,1
Friesland,1558,2
Friesland,1560,1
Friesland,1562,1
Friesland,1564,2
Friesland,1566,1
Friesland,1568,1
Friesland,1570,4
Friesland,1571,2
Friesland,1572,1
Friesland,1575,27
Friesland,1576,2
Friesland,1577,1
Friesland,1580,3
Friesland,1581,2
Friesland,1585,2
Friesland,1586,1
Friesland,1589,2
Friesland,1590,5
Friesland,1591,3
Friesland,1593,1
Friesland,1594,2
Friesland,1595,6
Friesland,1596,2
Friesland,1598,2
Friesland,1600,75
Friesland,1601,1
Friesland,1603,1
Friesland,1605,2
Friesland,1607,2
Friesland,1610,4
Friesland,1611,5
Friesland,1613,2
Friesland,1614,3
Friesland,1615,6
Friesland,1616,1
Friesland,1617,1
Friesland,1618,6
Friesland,1619,9
Friesland,1620,5
Friesland,1622,5
Friesland,1623,2
Friesland,1624,1
Friesland,1625,29
Friesland,1626,2
Friesland,1627,1
Friesland,1628,1
Friesland,1630,6
Friesland,1631,10
Friesland,1632,2
Friesland,1633,1
Friesland,1634,4
Friesland,1635,1
Friesland,1638,4
Friesland,1639,5
Friesland,1640,10
Friesland,1641,3
Friesland,1642,2
Friesland,1643,2
Friesland,1644,2
Friesland,1645,4
Friesland,1646,5
Friesland,1647,5
Friesland,1648,10
Friesland,1649,1
Friesland,1650,94
Friesland,1651,1
Friesland,1652,5
Friesland,1654,1
Friesland,1655,3
Friesland,1656,2
Friesland,1657,7
Friesland,1658,2
Friesland,1659,3
Friesland,1660,9
Friesland,1661,7
Friesland,1662,5
Friesland,1663,6
Friesland,1664,4
Friesland,1665,4
Friesland,1666,1
Friesland,1667,1
Friesland,1668,7
Friesland,1669,7
Friesland,1670,12
Friesland,1671,4
Friesland,1672,4
Friesland,1674,3
Friesland,1675,13
Friesland,1676,4
Friesland,1678,6
Friesland,1679,1
Friesland,1680,26
Friesland,1681,3
Friesland,1682,3
Friesland,1683,7
Friesland,1684,5
Friesland,1685,6
Friesland,1686,3
Friesland,1687,1
Friesland,1688,3
Friesland,1689,2
Friesland,1690,10
Friesland,1691,2
Friesland,1692,1
Friesland,1693,1
Friesland,1694,4
Friesland,1695,6
Friesland,1696,3
Friesland,1697,4
Friesland,1698,1
Friesland,1699,3
Friesland,1700,144
Friesland,1701,3
Friesland,1702,3
Friesland,1703,2
Friesland,1704,4
Friesland,1705,1
Friesland,1706,4
Friesland,1707,2
Friesland,1708,4
Friesland,1709,3
Friesland,1710,12
Friesland,1711,9
Friesland,1712,2
Friesland,1713,36
Friesland,1714,4
Friesland,1715,10
Friesland,1716,9
Friesland,1717,6
Friesland,1718,7
Friesland,1719,4
Friesland,1720,9
Friesland,1721,10
Friesland,1722,4
Friesland,1723,7
Friesland,1724,7
Friesland,1725,7
Friesland,1726,6
Friesland,1727,3
Friesland,1728,5
Friesland,1729,7
Friesland,1730,13
Friesland,1731,10
Friesland,1732,21
Friesland,1733,6
Friesland,1734,11
Friesland,1735,3
Friesland,1736,9
Friesland,1737,8
Friesland,1738,10
Friesland,1739,10
Friesland,1740,24
Friesland,1741,6
Friesland,1742,6
Friesland,1743,7
Friesland,1744,6
Friesland,1745,9
Friesland,1746,2
Friesland,1747,2
Friesland,1748,5
Friesland,1749,4
Friesland,1750,172
Friesland,1751,6
Friesland,1752,10
Friesland,1753,14
Friesland,1754,11
Friesland,1755,6
Friesland,1756,11
Friesland,1757,5
Friesland,1758,8
Friesland,1759,14
Friesland,1760,47
Friesland,1761,10
Friesland,1762,8
Friesland,1763,8
Friesland,1764,10
Friesland,1765,13
Friesland,1766,2
Friesland,1767,15
Friesland,1768,14
Friesland,1769,13
Friesland,1770,27
Friesland,1771,9
Friesland,1772,10
Friesland,1773,5
Friesland,1774,9
Friesland,1775,30
Friesland,1776,18
Friesland,1777,10
Friesland,1778,10
Friesland,1779,11
Friesland,1780,85
Friesland,1781,9
Friesland,1782,3
Friesland,1783,11
Friesland,1784,15
Friesland,1785,24
Friesland,1786,15
Friesland,1787,11
Friesland,1788,11
Friesland,1789,17
Friesland,1790,92
Friesland,1791,8
Friesland,1792,16
Friesland,1793,17
Friesland,1794,15
Friesland,1795,13
Friesland,1796,10
Friesland,1797,12
Friesland,1798,10
Friesland,1799,9
Friesland,1800,601
Friesland,1801,11
Friesland,1802,11
Friesland,1803,13
Friesland,1804,23
Friesland,1805,17
Friesland,1806,14
Friesland,1807,10
Friesland,1808,4
Friesland,1809,4
Friesland,1810,71
Friesland,1811,24
Friesland,1812,5
Friesland,1813,9
Friesland,1814,5
Friesland,1815,20
Friesland,1816,7
Friesland,1817,10
Friesland,1818,14
Friesland,1819,11
Friesland,1820,68
Friesland,1821,17
Friesland,1822,8
Friesland,1823,10
Friesland,1824,12
Friesland,1825,79
Friesland,1826,12
Friesland,1827,17
Friesland,1828,15
Friesland,1829,14
Friesland,1830,108
Friesland,1831,13
Friesland,1832,117
Friesland,1833,6
Friesland,1834,8
Friesland,1835,29
Friesland,1836,18
Friesland,1837,20
Friesland,1838,18
Friesland,1839,23
Friesland,1840,140
Friesland,1841,23
Friesland,1842,17
Friesland,1843,23
Friesland,1844,16
Friesland,1845,38
Friesland,1846,19
Friesland,1847,18
Friesland,1848,24
Friesland,1849,22
Friesland,1850,1001
Friesland,1851,27
Friesland,1852,36
Friesland,1853,32
Friesland,1854,45
Friesland,1855,59
Friesland,1856,74
Friesland,1857,35
Friesland,1858,28
Friesland,1859,42
Friesland,1860,335
Friesland,1861,41
Friesland,1862,47
Friesland,1863,80
Friesland,1864,65
Friesland,1865,113
Friesland,1866,50
Friesland,1867,68
Friesland,1868,73
Friesland,1869,74
Friesland,1870,660
Friesland,1871,64
Friesland,1872,244
Friesland,1873,116
Friesland,1874,85
Friesland,1875,347
Friesland,1876,100
Friesland,1877,93
Friesland,1878,117
Friesland,1879,77
Friesland,1880,1434
Friesland,1881,89
Friesland,1882,65
Friesland,1883,69
Friesland,1884,73
Friesland,1885,226
Friesland,1886,63
Friesland,1887,88
Friesland,1888,133
Friesland,1889,111
Friesland,1890,1255
Friesland,1891,141
Friesland,1892,122
Friesland,1893,116
Friesland,1894,150
Friesland,1895,351
Friesland,1896,97
Friesland,1897,87
Friesland,1898,158
Friesland,1899,217
Friesland,1900,6663
Friesland,1901,390
Friesland,1902,302
Friesland,1903,483
Friesland,1904,475
Friesland,1905,1045
Friesland,1906,826
Friesland,1907,470
Friesland,1908,611
Friesland,1909,392
Friesland,1910,3811
Friesland,1911,554
Friesland,1912,443
Friesland,1913,432
Friesland,1914,475
Friesland,1915,1014
Friesland,1916,361
Friesland,1917,429
Friesland,1918,415
Friesland,1919,559
Friesland,1920,4257
Friesland,1921,945
Friesland,1922,526
Friesland,1923,1097
Friesland,1924,1211
Friesland,1925,2306
Friesland,1926,946
Friesland,1927,950
Friesland,1928,1665
Friesland,1929,1263
Friesland,1930,5693
Friesland,1931,894
Friesland,1932,1397
Friesland,1933,1463
Friesland,1934,1318
Friesland,1935,2813
Friesland,1936,1758
Friesland,1937,1457
Friesland,1938,1627
Friesland,1939,1531
Friesland,1940,1231
Friesland,1941,432
Friesland,1942,297
Friesland,1943,127
Friesland,1944,111
Friesland,1945,441
Friesland,1946,240
Friesland,1947,500
Friesland,1948,1268
Friesland,1949,756
Friesland,1950,3435
Friesland,1951,919
Friesland,1952,1072
Friesland,1953,1856
Friesland,1954,1128
Friesland,1955,3218
Friesland,1956,2093
Friesland,1957,3008
Friesland,1958,2375
Friesland,1959,1738
Friesland,1960,5501
Friesland,1961,2370
Friesland,1962,2217
Friesland,1963,3275
Friesland,1964,3848
Friesland,1965,5680
Friesland,1966,3671
Friesland,1967,4319
Friesland,1968,5537
Friesland,1969,3651
Friesland,1970,8173
Friesland,1971,5417
Friesland,1972,7324
Friesland,1973,7285
Friesland,1974,6076
Friesland,1975,5600
Friesland,1976,5452
Friesland,1977,5430
Friesland,1978,5134
Friesland,1979,3802
Friesland,1980,5436
Friesland,1981,3624
Friesland,1982,4012
Friesland,1983,2277
Friesland,1984,2795
Friesland,1985,3178
Friesland,1986,2973
Friesland,1987,3239
Friesland,1988,3172
Friesland,1989,2862
Friesland,1990,3142
Friesland,1991,2216
Friesland,1992,2909
Friesland,1993,3168
Friesland,1994,4066
Friesland,1995,4104
Friesland,1996,3267
Friesland,1997,3536
Friesland,1998,3960
Friesland,1999,3224
Friesland,2000,3834
Friesland,2001,2636
Friesland,2002,2828
Friesland,2003,2309
Friesland,2004,2280
Friesland,2005,2802
Friesland,2006,3256
Friesland,2007,3080
Friesland,2008,2928
Friesland,2009,2348
Friesland,2010,2471
Friesland,2011,2091
Friesland,2012,1912
Friesland,2013,1250
Friesland,2014,987
Friesland,2015,1395
Friesland,2016,1576
Friesland,2017,1660
Friesland,2018,2266
Friesland,2019,2453
Friesland,2020,2028
Friesland,2021,2595
Friesland,2022,2574
Friesland,2023,2350
Friesland,2024,1916
Friesland,2025,3255
Friesland,2026,440
Friesland,9999,17
Gelderland,1000,1
Gelderland,1040,1
Gelderland,1100,6
Gelderland,1150,2
Gelderland,1176,2
Gelderland,1178,1
Gelderland,1188,1
Gelderland,1200,12
Gelderland,1221,1
Gelderland,1248,1
Gelderland,1250,7
Gelderland,1260,2
Gelderland,1270,1
Gelderland,1275,3
Gelderland,1281,1
Gelderland,1286,1
Gelderland,1295,1
Gelderland,1297,1
Gelderland,1300,12
Gelderland,1302,1
Gelderland,1305,1
Gelderland,1307,1
Gelderland,1310,1
Gelderland,1326,6
Gelderland,1329,1
Gelderland,1335,2
Gelderland,1337,2
Gelderland,1340,2
Gelderland,1342,1
Gelderland,1347,2
Gelderland,1350,17
Gelderland,1351,1
Gelderland,1355,1
Gelderland,1370,3
Gelderland,1380,3
Gelderland,1383,3
Gelderland,1385,2
Gelderland,1386,1
Gelderland,1390,2
Gelderland,1391,1
Gelderland,1395,2
Gelderland,1396,2
Gelderland,1397,6
Gelderland,1398,2
Gelderland,1399,3
Gelderland,1400,48
Gelderland,1402,4
Gelderland,1403,1
Gelderland,1404,1
Gelderland,1409,1
Gelderland,1415,5
Gelderland,1424,1
Gelderland,1425,2
Gelderland,1428,3
Gelderland,1431,1
Gelderland,1434,2
Gelderland,1436,3
Gelderland,1437,2
Gelderland,1438,5
Gelderland,1440,2
Gelderland,1441,1
Gelderland,1442,1
Gelderland,1443,2
Gelderland,1446,2
Gelderland,1450,28
Gelderland,1452,2
Gelderland,1456,1
Gelderland,1458,2
Gelderland,1460,5
Gelderland,1465,4
Gelderland,1467,1
Gelderland,1470,1
Gelderland,1471,1
Gelderland,1473,1
Gelderland,1475,3
Gelderland,1477,7
Gelderland,1478,14
Gelderland,1480,4
Gelderland,1484,1
Gelderland,1485,11
Gelderland,1486,1
Gelderland,1490,3
Gelderland,1494,2
Gelderland,1495,1
Gelderland,1496,3
Gelderland,1499,4
Gelderland,1500,66
Gelderland,1503,2
Gelderland,1505,1
Gelderland,1508,1
Gelderland,1512,1
Gelderland,1514,1
Gelderland,1515,11
Gelderland,1518,5
Gelderland,1519,1
Gelderland,1520,5
Gelderland,1522,1
Gelderland,1525,4
Gelderland,1526,1
Gelderland,1527,2
Gelderland,1530,2
Gelderland,1531,1
Gelderland,1534,2
Gelderland,1535,10
Gelderland,1536,9
Gelderland,1538,4
Gelderland,1539,1
Gelderland,1540,10
Gelderland,1543,1
Gelderland,1546,1
Gelderland,1549,5
Gelderland,1550,60
Gelderland,1551,2
Gelderland,1553,2
Gelderland,1555,6
Gelderland,1557,2
Gelderland,1558,7
Gelderland,1560,5
Gelderland,1561,1
Gelderland,1564,2
Gelderland,1565,4
Gelderland,1567,1
Gelderland,1569,2
Gelderland,1570,1
Gelderland,1575,8
Gelderland,1579,2
Gelderland,1580,7
Gelderland,1582,1
Gelderland,1585,24
Gelderland,1586,4
Gelderland,1589,2
Gelderland,1590,7
Gelderland,1595,2
Gelderland,1596,1
Gelderland,1598,1
Gelderland,1599,2
Gelderland,1600,163
Gelderland,1602,3
Gelderland,1603,4
Gelderland,1604,2
Gelderland,1605,4
Gelderland,1607,3
Gelderland,1608,2
Gelderland,1609,3
Gelderland,1610,7
Gelderland,1611,4
Gelderland,1612,3
Gelderland,1613,2
Gelderland,1614,2
Gelderland,1615,8
Gelderland,1616,4
Gelderland,1617,5
Gelderland,1618,2
Gelderland,1619,1
Gelderland,1620,8
Gelderland,1621,6
Gelderland,1623,12
Gelderland,1625,13
Gelderland,1626,1
Gelderland,1627,3
Gelderland,1628,3
Gelderland,1629,12
Gelderland,1630,10
Gelderland,1631,6
Gelderland,1632,4
Gelderland,1633,2
Gelderland,1634,4
Gelderland,1635,9
Gelderland,1636,3
Gelderland,1638,4
Gelderland,1639,5
Gelderland,1640,16
Gelderland,1641,3
Gelderland,1642,4
Gelderland,1643,3
Gelderland,1644,10
Gelderland,1645,1
Gelderland,1646,1
Gelderland,1647,2
Gelderland,1648,4
Gelderland,1649,5
Gelderland,1650,192
Gelderland,1651,6
Gelderland,1652,1
Gelderland,1653,3
Gelderland,1654,3
Gelderland,1655,2
Gelderland,1657,1
Gelderland,1658,2
Gelderland,1659,2
Gelderland,1660,10
Gelderland,1661,2
Gelderland,1662,1
Gelderland,1663,1
Gelderland,1664,3
Gelderland,1665,10
Gelderland,1666,1
Gelderland,1667,1
Gelderland,1668,1
Gelderland,1669,2
Gelderland,1670,17
Gelderland,1671,1
Gelderland,1672,6
Gelderland,1674,3
Gelderland,1675,1
Gelderland,1676,1
Gelderland,1677,2
Gelderland,1678,1
Gelderland,1680,27
Gelderland,1681,4
Gelderland,1683,3
Gelderland,1684,2
Gelderland,1685,40
Gelderland,1686,3
Gelderland,1687,1
Gelderland,1688,1
Gelderland,1689,1
Gelderland,1690,13
Gelderland,1693,1
Gelderland,1694,3
Gelderland,1695,3
Gelderland,1696,4
Gelderland,1697,4
Gelderland,1699,7
Gelderland,1700,263
Gelderland,1702,1
Gelderland,1703,1
Gelderland,1704,5
Gelderland,1705,2
Gelderland,1706,3
Gelderland,1707,3
Gelderland,1708,5
Gelderland,1709,1
Gelderland,1710,13
Gelderland,1711,9
Gelderland,1712,5
Gelderland,1713,3
Gelderland,1715,10
Gelderland,1716,6
Gelderland,1717,3
Gelderland,1718,7
Gelderland,1719,1
Gelderland,1720,15
Gelderland,1721,3
Gelderland,1722,2
Gelderland,1723,4
Gelderland,1724,6
Gelderland,1725,9
Gelderland,1726,3
Gelderland,1727,1
Gelderland,1728,10
Gelderland,1729,4
Gelderland,1730,19
Gelderland,1731,11
Gelderland,1732,6
Gelderland,1733,1
Gelderland,1734,9
Gelderland,1735,11
Gelderland,1736,7
Gelderland,1737,6
Gelderland,1738,2
Gelderland,1739,5
Gelderland,1740,30
Gelderland,1741,11
Gelderland,1742,5
Gelderland,1743,4
Gelderland,1744,3
Gelderland,1745,7
Gelderland,1746,6
Gelderland,1747,5
Gelderland,1748,3
Gelderland,1749,8
Gelderland,1750,554
Gelderland,1751,7
Gelderland,1752,5
Gelderland,1753,8
Gelderland,1754,3
Gelderland,1755,10
Gelderland,1756,17
Gelderland,1757,3
Gelderland,1758,8
Gelderland,1759,1
Gelderland,1760,33
Gelderland,1761,4
Gelderland,1762,7
Gelderland,1763,7
Gelderland,1764,10
Gelderland,1765,14
Gelderland,1766,3
Gelderland,1767,5
Gelderland,1768,4
Gelderland,1769,7
Gelderland,1770,35
Gelderland,1771,11
Gelderland,1772,11
Gelderland,1773,11
Gelderland,1774,10
Gelderland,1775,15
Gelderland,1776,16
Gelderland,1777,5
Gelderland,1778,8
Gelderland,1779,6
Gelderland,1780,77
Gelderland,1781,11
Gelderland,1782,4
Gelderland,1783,5
Gelderland,1784,6
Gelderland,1785,24
Gelderland,1786,12
Gelderland,1787,16
Gelderland,1788,7
Gelderland,1789,15
Gelderland,1790,49
